                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7547,                 5.9631,                 4.4023,                0.00018,                0.03125,                0.00011,                  2e-05,                 5.3607,                 5.2543,                 4.1617,                0.00026,                0.00026,                0.00026
                      2,                 4.7385,                 5.0391,                 4.1924,                0.00018,                0.03125,                0.00011,                  2e-05,                 5.3679,                 5.2907,                 4.1757,             0.00053465,             0.00053465,             0.00053465
                      3,                 4.2727,                 4.6736,                 4.0179,                0.00018,                0.03125,                0.00012,                  2e-05,                 5.3876,                 5.2024,                 4.2156,             0.00080376,             0.00080376,             0.00080376
                      4,                 4.0529,                 4.1299,                  3.722,                0.00018,                0.03125,                0.00015,                  2e-05,                 5.4159,                 5.1115,                 4.2882,              0.0010673,              0.0010673,              0.0010673
                      5,                 3.8556,                 3.8951,                 3.5237,                0.00018,                0.03125,                0.00015,                  2e-05,                 5.4745,                 4.4519,                 4.3434,              0.0013254,              0.0013254,              0.0013254
                      6,                 3.4892,                 3.5088,                 3.1272,                0.00018,                0.03125,                0.00015,                  2e-05,                 5.3761,                 4.4241,                 4.2098,              0.0015778,              0.0015778,              0.0015778
                      7,                 3.1745,                 3.3006,                  3.114,                 0.0004,                 0.0625,                0.00026,                  6e-05,                 4.6124,                 3.9879,                 3.8106,              0.0018248,              0.0018248,              0.0018248
                      8,                 3.1522,                 2.9131,                 2.9686,                0.06177,                 0.0625,                0.03054,                0.00975,                 3.3465,                 3.4651,                 2.9534,              0.0018614,              0.0018614,              0.0018614
                      9,                  3.064,                 2.7651,                 2.8958,                0.12607,                  0.125,                0.04882,                0.01157,                 3.3129,                 3.7683,                 3.1197,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.0114,                 2.7034,                 2.7531,                0.02381,                0.03125,                0.00214,                0.00094,                 3.5731,                 129.68,                 3.4573,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.8586,                 2.8686,                 2.7282,                0.02563,                0.03125,                0.00701,                0.00214,                  3.714,                 14.774,                 3.1884,               0.001802,               0.001802,               0.001802
                     12,                 2.8793,                 2.5164,                 2.5843,                0.05787,                 0.0625,                0.02046,                 0.0061,                 3.1721,                 13.638,                 3.0876,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.8021,                 2.4742,                 2.5864,                0.05639,                0.23438,                0.06532,                0.02672,                  2.851,                 9.0186,                 2.9365,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.7506,                 2.2626,                  2.492,                0.09584,                0.23438,                0.05441,                0.01857,                 2.6978,                 4.7379,                 2.6339,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.6559,                 2.2369,                 2.4455,                0.36485,                0.25134,                0.21452,                0.07504,                 2.4609,                 2.2379,                 2.4305,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.6343,                 2.3298,                 2.3295,                0.35015,                0.35938,                 0.3446,                0.13189,                 2.2961,                 2.3916,                 2.4195,               0.001703,               0.001703,               0.001703
                     17,                 2.6924,                   2.14,                 2.4062,                0.48406,                0.39062,                0.34524,                0.11653,                   2.55,                 1.9326,                  2.403,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.6281,                 2.0621,                 2.3329,                0.30778,                  0.375,                0.27291,                0.08773,                 2.2818,                 2.0852,                 2.3365,              0.0016634,              0.0016634,              0.0016634
                     19,                  2.557,                 2.0956,                 2.3791,                 0.3599,                0.31632,                0.28777,                0.11108,                 2.3397,                 2.0004,                 2.3447,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.4386,                 2.0016,                 2.2462,                0.48451,                0.35255,                0.37273,                0.16341,                  2.186,                 2.2986,                 2.1227,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.4009,                 1.8902,                 2.1975,                0.41232,                 0.4375,                  0.364,                0.15465,                 2.2551,                 2.0164,                 2.2064,               0.001604,               0.001604,               0.001604
                     22,                 2.3125,                 1.7594,                 2.1199,                0.52326,                0.41167,                0.43398,                0.16219,                 2.2405,                 1.9473,                 2.2118,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.2734,                 1.7848,                 2.1268,                0.49171,                0.35938,                0.41701,                0.15784,                 2.2123,                  1.817,                  2.183,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.2279,                 1.6809,                 1.9885,                0.39776,                0.46875,                0.45591,                0.18251,                 2.1792,                 1.8783,                 2.1472,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.2562,                 1.7613,                 2.0837,                0.46738,                0.46875,                0.43231,                0.15594,                 2.2075,                 1.8604,                 2.1249,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.2616,                 1.6938,                 2.0205,                0.25501,                  0.375,                0.24951,                 0.0837,                 2.1657,                  2.164,                  2.146,               0.001505,               0.001505,               0.001505
                     27,                 2.1918,                 1.6872,                 1.9977,                 0.2451,                0.42188,                0.22893,                0.10765,                  2.029,                 2.6875,                 2.0779,              0.0014852,              0.0014852,              0.0014852
                     28,                 2.2944,                 1.7347,                 2.1316,                0.61137,                0.51562,                0.53852,                0.22532,                 2.0696,                 1.7741,                 2.0667,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.1519,                 1.6602,                  2.046,                0.63486,                0.57812,                0.60969,                0.24924,                 1.9723,                  1.626,                 2.0161,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.0983,                 1.6074,                 2.0268,                0.59869,                0.48438,                0.53738,                0.23557,                 2.0774,                  1.583,                 2.0536,              0.0014258,              0.0014258,              0.0014258
                     31,                 2.2612,                 1.8081,                 2.1078,                 0.6335,                0.51562,                0.54649,                0.22938,                  2.062,                 1.5407,                  1.991,               0.001406,               0.001406,               0.001406
                     32,                  2.162,                 1.5732,                 1.9648,                0.82265,                0.50744,                0.63398,                 0.2856,                 1.9261,                 1.5091,                 1.9409,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.9832,                 1.4767,                 1.8469,                0.74985,                0.51562,                0.60232,                0.26545,                 1.9996,                 1.4485,                 1.9402,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.2155,                 1.6879,                 2.0472,                0.69617,                 0.5625,                0.62547,                0.24802,                 2.0387,                 1.5383,                 1.9439,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.1561,                 1.6463,                 1.9667,                0.78316,                0.57812,                0.65055,                  0.291,                 1.9946,                 1.4235,                 1.9597,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.0495,                 1.5311,                  1.892,                0.63116,                0.54688,                0.58969,                0.26476,                  1.994,                 1.4809,                 1.9253,               0.001307,               0.001307,               0.001307
                     37,                 1.9686,                 1.4963,                 1.8663,                0.67205,                 0.6084,                 0.6236,                0.28884,                 1.8898,                  1.391,                 1.9097,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.0833,                 1.6237,                 1.8351,                0.63478,                  0.625,                0.62642,                0.28434,                 1.9062,                 1.4775,                 1.8552,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.0339,                 1.5668,                 1.8735,                0.67417,                0.58199,                0.64389,                0.30898,                  1.874,                 1.4959,                 1.8636,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.0138,                 1.4405,                 1.8218,                0.76255,                0.53125,                0.64142,                0.31315,                 1.8674,                 1.4943,                 1.8471,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.9716,                 1.4624,                  1.801,                0.69046,                0.57812,                  0.653,                0.29922,                 1.9396,                 1.5029,                  1.884,               0.001208,               0.001208,               0.001208
                     42,                 1.9426,                 1.4238,                 1.7714,                0.72204,                0.54688,                0.62227,                0.27825,                 1.9722,                 1.4619,                 1.8765,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.9117,                  1.337,                 1.7268,                0.55683,                0.64062,                 0.6243,                0.26134,                 2.0211,                 1.4173,                 1.9164,              0.0011684,              0.0011684,              0.0011684
                     44,                  1.907,                 1.3919,                 1.7426,                0.69506,                0.64062,                 0.6693,                0.33557,                 1.8983,                  1.296,                 1.8477,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.9167,                 1.3031,                 1.7076,                0.54092,                 0.6875,                0.54525,                0.24155,                 1.8194,                 1.3935,                 1.8046,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.9594,                 1.3793,                 1.8055,                0.51965,                0.59375,                0.52308,                0.23333,                 1.9151,                 1.5027,                 1.8643,               0.001109,               0.001109,               0.001109
                     47,                 1.9065,                   1.37,                 1.7129,                0.77484,                 0.6453,                0.69245,                0.29567,                  1.904,                  1.457,                  1.833,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.9292,                  1.445,                 1.7964,                0.65968,                    0.5,                0.63414,                0.32044,                 1.8488,                 1.4288,                 1.7913,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.8625,                 1.3508,                 1.7589,                0.58574,                0.64062,                0.65175,                0.29209,                 1.8065,                 1.3772,                 1.7753,              0.0010496,              0.0010496,              0.0010496
