                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.986,                 4.0972,                 4.2365,                 0.0036,                0.93026,                0.00648,                0.00278,                 2.4461,                 3.4992,                  4.146,              0.0002875,              0.0002875,              0.0002875
                      2,                 2.9726,                 3.9211,                 4.1577,                 0.0036,                0.93276,                0.00707,                0.00311,                 2.4252,                 3.4768,                 4.0741,             0.00055842,             0.00055842,             0.00055842
                      3,                 2.9696,                 3.6728,                 4.0366,                0.00338,                0.94294,                0.01285,                 0.0049,                 2.3466,                  4.053,                 3.7363,             0.00079964,             0.00079964,             0.00079964
                      4,                  2.918,                 3.5162,                 3.8506,                0.25108,                0.24296,                0.03056,                0.01189,                 2.3487,                 6.2021,                  3.489,              0.0010112,              0.0010112,              0.0010112
                      5,                 2.7938,                 3.4375,                 3.6507,                0.32456,                0.37979,                0.10012,                0.03328,                 2.4686,                 24.141,                 5.0495,              0.0010025,              0.0010025,              0.0010025
                      6,                 2.7579,                 3.3124,                 3.4888,                0.10891,                0.20167,                0.08601,                0.02984,                 2.4325,                 11.752,                 4.5936,             0.00094062,             0.00094062,             0.00094062
                      7,                 2.6893,                 3.2062,                 3.3764,                0.22531,                0.51194,                0.18362,                0.05609,                 2.3075,                 7.3037,                 3.4861,             0.00087875,             0.00087875,             0.00087875
                      8,                 2.5906,                 3.1313,                 3.2449,                0.65212,                0.29857,                 0.2704,                0.09069,                 2.4327,                 6.4287,                 3.3272,             0.00081688,             0.00081688,             0.00081688
                      9,                 2.4201,                 3.0553,                 3.1631,                0.20524,                0.55384,                0.26232,                0.10723,                 2.1005,                 4.6934,                 3.2191,               0.000755,               0.000755,               0.000755
                     10,                 2.3517,                 2.9547,                 3.0421,                0.32388,                0.44359,                0.30728,                0.11888,                 2.0337,                  3.679,                 3.1122,             0.00069313,             0.00069313,             0.00069313
                     11,                 1.9212,                 3.4229,                 3.1088,                0.65709,                 0.3831,                0.49162,                0.18528,                 2.0802,                 3.2469,                  3.092,             0.00063125,             0.00063125,             0.00063125
                     12,                 1.8584,                 3.1011,                 3.0009,                 0.6636,                0.53042,                 0.5951,                0.29499,                  1.915,                 2.9217,                 2.7861,             0.00056938,             0.00056938,             0.00056938
                     13,                 1.8168,                 2.9051,                  2.913,                0.35755,                0.43816,                0.45036,                0.24115,                 1.8303,                 2.5127,                 2.8828,              0.0005075,              0.0005075,              0.0005075
                     14,                 1.7351,                 2.7179,                 2.8027,                 0.5327,                0.52949,                0.55593,                0.29231,                   1.69,                 2.1783,                 2.6096,             0.00044563,             0.00044563,             0.00044563
                     15,                 1.6825,                  2.622,                 2.6923,                0.62158,                0.60127,                0.68961,                0.38826,                 1.6398,                  1.706,                 2.5491,             0.00038375,             0.00038375,             0.00038375
                     16,                 1.6816,                 2.4682,                 2.6589,                0.68392,                0.63381,                0.74075,                0.41807,                 1.7144,                 1.7032,                  2.601,             0.00032188,             0.00032188,             0.00032188
                     17,                 1.5787,                 2.4301,                 2.5215,                0.71483,                0.61642,                 0.6838,                 0.4219,                 1.6127,                 1.8331,                 2.5103,                0.00026,                0.00026,                0.00026
                     18,                 1.5737,                 2.3933,                 2.4969,                0.74647,                0.65931,                0.77171,                 0.4643,                 1.6004,                 1.6252,                 2.5017,             0.00019813,             0.00019813,             0.00019813
                     19,                 1.5034,                 2.2437,                 2.4881,                0.90272,                0.76336,                0.86947,                0.52547,                 1.5507,                 1.3645,                 2.4177,             0.00013625,             0.00013625,             0.00013625
                     20,                 1.4853,                 2.1798,                 2.4122,                0.85126,                0.75128,                0.85913,                0.54188,                 1.4806,                 1.3048,                  2.345,             7.4375e-05,             7.4375e-05,             7.4375e-05
