                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.969,                 4.0882,                 4.2395,                0.00332,                   0.95,                0.00669,                0.00275,                  2.606,                 3.5217,                  4.146,                0.00025,                0.00025,                0.00025
                      2,                   2.97,                 3.9289,                 4.1429,                0.00341,                  0.975,                0.04295,                0.01493,                 2.5526,                 3.4925,                 4.0656,             0.00049559,             0.00049559,             0.00049559
                      3,                 2.9078,                 3.6298,                 4.0483,                 0.0034,                  0.975,                0.04461,                0.01568,                  2.491,                 3.4606,                 3.9127,             0.00072385,             0.00072385,             0.00072385
                      4,                 2.9371,                 3.5376,                 3.8906,                0.00319,                   0.95,                0.04941,                0.01142,                 2.3899,                 3.7668,                 3.1849,             0.00093479,             0.00093479,             0.00093479
                      5,                 2.7589,                 3.4119,                 3.6887,                0.76477,                  0.175,                 0.1569,                0.04941,                 2.2342,                 4.6812,                 3.2022,               0.001085,               0.001085,               0.001085
                      6,                 2.7479,                 3.3951,                 3.5405,                0.61206,                  0.225,                0.19681,                0.06105,                 2.2765,                 4.9231,                 3.2269,              0.0010438,              0.0010438,              0.0010438
                      7,                 2.5543,                  3.222,                 3.3677,                 0.5426,                    0.1,                0.11256,                0.04015,                 2.3403,                 4.6143,                 3.2955,              0.0010025,              0.0010025,              0.0010025
                      8,                 2.5705,                  3.214,                 3.3131,                0.09881,                0.35866,                0.13507,                0.03849,                 2.0927,                 4.5038,                 3.6059,             0.00096125,             0.00096125,             0.00096125
                      9,                 2.4634,                 3.0819,                  3.213,                0.39504,                  0.325,                0.24125,                0.08775,                 2.0223,                 5.7748,                 3.5039,                0.00092,                0.00092,                0.00092
                     10,                 2.3959,                 3.0781,                 3.1175,                0.83606,                    0.1,                 0.0936,                0.03215,                 2.0552,                 3.7489,                 3.5806,             0.00087875,             0.00087875,             0.00087875
                     11,                 2.3204,                 3.0706,                 3.0478,                 0.2044,                   0.25,                 0.2212,                0.09839,                 1.7409,                   3.66,                 2.8379,              0.0008375,              0.0008375,              0.0008375
                     12,                 2.2757,                 2.9276,                 2.9874,                 0.4512,                0.50381,                0.34896,                0.15828,                 1.9538,                 5.7786,                 2.7489,             0.00079625,             0.00079625,             0.00079625
